
model = GPT2

sentence = 'c a n <sp> y o u <sp> l i s t e n <sp> t o <sp> m e <sp> p l e a s e <sp> l o o k <sp> i n <sp> m y <sp> e y e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( u | o ...) = 0.311314 [ -0.506801 ]
sum logprob = -16.3644, per-symbol logprob = -0.8182, ppl = 6.5799

sentence = 's w e e t <sp> d r e a m s'
p( s | <s> ...) = 0.060403 [ -1.218943 ]
p( w | s ...) = 0.038368 [ -1.416036 ]
p( e | w ...) = 0.104088 [ -0.982601 ]
p( e | e ...) = 0.234114 [ -0.630573 ]
p( t | e ...) = 0.077549 [ -1.110422 ]
p( _ | t ...) = 0.313471 [ -0.503802 ]
p( d | _ ...) = 0.023312 [ -1.632422 ]
p( r | d ...) = 0.024544 [ -1.610063 ]
p( e | r ...) = 0.099050 [ -1.004144 ]
p( a | e ...) = 0.035068 [ -1.455093 ]
p( m | a ...) = 0.033793 [ -1.471170 ]
p( s | m ...) = 0.162064 [ -0.790314 ]
sum logprob = -13.8256, per-symbol logprob = -1.1521, ppl = 14.1949

sentence = 'h o w <sp> l o n g <sp> d o <sp> y o u <sp> t h i n k <sp> i t <sp> w i l l <sp> b e'
p( h | <s> ...) = 0.026060 [ -1.584030 ]
p( o | h ...) = 0.079238 [ -1.101066 ]
p( w | o ...) = 0.099177 [ -1.003587 ]
p( _ | w ...) = 0.313437 [ -0.503849 ]
p( l | _ ...) = 0.024425 [ -1.612157 ]
p( o | l ...) = 0.128980 [ -0.889479 ]
p( n | o ...) = 0.144260 [ -0.840855 ]
p( g | n ...) = 0.087221 [ -1.059379 ]
p( _ | g ...) = 0.280560 [ -0.551975 ]
p( d | _ ...) = 0.077840 [ -1.108798 ]
p( o | d ...) = 0.236151 [ -0.626810 ]
p( _ | o ...) = 0.196262 [ -0.707165 ]
p( y | _ ...) = 0.225329 [ -0.647183 ]
p( o | y ...) = 0.317568 [ -0.498164 ]
p( u | o ...) = 0.311389 [ -0.506696 ]
p( _ | u ...) = 0.309871 [ -0.508819 ]
p( t | _ ...) = 0.168856 [ -0.772484 ]
p( h | t ...) = 0.303505 [ -0.517835 ]
p( i | h ...) = 0.316654 [ -0.499415 ]
p( n | i ...) = 0.189532 [ -0.722318 ]
p( k | n ...) = 0.307529 [ -0.512114 ]
p( _ | k ...) = 0.313452 [ -0.503829 ]
p( i | _ ...) = 0.155289 [ -0.808858 ]
p( t | i ...) = 0.310107 [ -0.508488 ]
p( _ | t ...) = 0.309742 [ -0.509000 ]
p( w | _ ...) = 0.211539 [ -0.674610 ]
p( i | w ...) = 0.269998 [ -0.568640 ]
p( l | i ...) = 0.311835 [ -0.506074 ]
p( l | l ...) = 0.311866 [ -0.506032 ]
p( _ | l ...) = 0.313470 [ -0.503805 ]
p( b | _ ...) = 0.080385 [ -1.094825 ]
p( e | b ...) = 0.318082 [ -0.497461 ]
sum logprob = -23.4558, per-symbol logprob = -0.7330, ppl = 5.4075

sentence = 'i <sp> t h i n k <sp> y o u <sp> a r e <sp> w r o n g'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( t | _ ...) = 0.118238 [ -0.927245 ]
p( h | t ...) = 0.226442 [ -0.645043 ]
p( i | h ...) = 0.090466 [ -1.043513 ]
p( n | i ...) = 0.092903 [ -1.031972 ]
p( k | n ...) = 0.219546 [ -0.658475 ]
p( _ | k ...) = 0.251644 [ -0.599214 ]
p( y | _ ...) = 0.061287 [ -1.212632 ]
p( o | y ...) = 0.312772 [ -0.504771 ]
p( u | o ...) = 0.311152 [ -0.507027 ]
p( _ | u ...) = 0.292050 [ -0.534543 ]
p( a | _ ...) = 0.072015 [ -1.142577 ]
p( r | a ...) = 0.230949 [ -0.636485 ]
p( e | r ...) = 0.317017 [ -0.498918 ]
p( _ | e ...) = 0.307062 [ -0.512774 ]
p( w | _ ...) = 0.045436 [ -1.342601 ]
p( r | w ...) = 0.178045 [ -0.749471 ]
p( o | r ...) = 0.301415 [ -0.520835 ]
p( n | o ...) = 0.084803 [ -1.071587 ]
p( g | n ...) = 0.037808 [ -1.422411 ]
sum logprob = -17.4617, per-symbol logprob = -0.8315, ppl = 6.7844

sentence = 't e l l <sp> m e <sp> a b o u t <sp> i t'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( e | t ...) = 0.070188 [ -1.153738 ]
p( l | e ...) = 0.057219 [ -1.242463 ]
p( l | l ...) = 0.224308 [ -0.649156 ]
p( _ | l ...) = 0.233045 [ -0.632561 ]
p( m | _ ...) = 0.020071 [ -1.697439 ]
p( e | m ...) = 0.138076 [ -0.859881 ]
p( _ | e ...) = 0.187271 [ -0.727529 ]
p( a | _ ...) = 0.116553 [ -0.933475 ]
p( b | a ...) = 0.200753 [ -0.697337 ]
p( o | b ...) = 0.317941 [ -0.497654 ]
p( u | o ...) = 0.168775 [ -0.772692 ]
p( t | u ...) = 0.070200 [ -1.153661 ]
p( _ | t ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.091845 [ -1.036945 ]
p( t | i ...) = 0.304583 [ -0.516295 ]
sum logprob = -13.9270, per-symbol logprob = -0.8704, ppl = 7.4206

sentence = 'w h o <sp> w a s <sp> t h a t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( o | h ...) = 0.101209 [ -0.994781 ]
p( _ | o ...) = 0.282368 [ -0.549184 ]
p( w | _ ...) = 0.107592 [ -0.968218 ]
p( a | w ...) = 0.147101 [ -0.832383 ]
p( s | a ...) = 0.246584 [ -0.608036 ]
p( _ | s ...) = 0.300884 [ -0.521600 ]
p( t | _ ...) = 0.088252 [ -1.054273 ]
p( h | t ...) = 0.221620 [ -0.654391 ]
p( a | h ...) = 0.056071 [ -1.251263 ]
p( t | a ...) = 0.285952 [ -0.543707 ]
sum logprob = -10.1966, per-symbol logprob = -0.8497, ppl = 7.0749

sentence = 'h o w <sp> i s <sp> y o u r <sp> d a y <sp> g o i n g <sp> s o <sp> f a r'
p( h | <s> ...) = 0.026060 [ -1.584030 ]
p( o | h ...) = 0.079238 [ -1.101066 ]
p( w | o ...) = 0.099177 [ -1.003587 ]
p( _ | w ...) = 0.313437 [ -0.503849 ]
p( i | _ ...) = 0.114574 [ -0.940915 ]
p( s | i ...) = 0.156454 [ -0.805612 ]
p( _ | s ...) = 0.296706 [ -0.527673 ]
p( y | _ ...) = 0.052738 [ -1.277875 ]
p( o | y ...) = 0.314368 [ -0.502562 ]
p( u | o ...) = 0.309698 [ -0.509062 ]
p( r | u ...) = 0.286071 [ -0.543527 ]
p( _ | r ...) = 0.307574 [ -0.512050 ]
p( d | _ ...) = 0.038746 [ -1.411771 ]
p( a | d ...) = 0.171724 [ -0.765168 ]
p( y | a ...) = 0.151060 [ -0.820850 ]
p( _ | y ...) = 0.306426 [ -0.513675 ]
p( g | _ ...) = 0.179983 [ -0.744769 ]
p( o | g ...) = 0.311194 [ -0.506969 ]
p( i | o ...) = 0.303441 [ -0.517926 ]
p( n | i ...) = 0.312737 [ -0.504821 ]
p( g | n ...) = 0.036147 [ -1.441933 ]
p( _ | g ...) = 0.313471 [ -0.503802 ]
p( s | _ ...) = 0.037992 [ -1.420311 ]
p( o | s ...) = 0.259854 [ -0.585271 ]
p( _ | o ...) = 0.286854 [ -0.542338 ]
p( f | _ ...) = 0.275614 [ -0.559699 ]
p( a | f ...) = 0.316175 [ -0.500072 ]
p( r | a ...) = 0.305965 [ -0.514328 ]
sum logprob = -21.6655, per-symbol logprob = -0.7738, ppl = 5.9398

sentence = 'c a n <sp> y o u <sp> h e l p <sp> t o <sp> c l e a n <sp> u p'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( y | _ ...) = 0.049816 [ -1.302630 ]
p( o | y ...) = 0.276756 [ -0.557902 ]
p( u | o ...) = 0.309901 [ -0.508776 ]
p( _ | u ...) = 0.260915 [ -0.583501 ]
p( h | _ ...) = 0.047493 [ -1.323372 ]
p( e | h ...) = 0.177746 [ -0.750201 ]
p( l | e ...) = 0.191586 [ -0.717635 ]
p( p | l ...) = 0.306797 [ -0.513148 ]
p( _ | p ...) = 0.313339 [ -0.503986 ]
p( t | _ ...) = 0.076211 [ -1.117981 ]
p( o | t ...) = 0.100135 [ -0.999416 ]
p( _ | o ...) = 0.276844 [ -0.557764 ]
p( c | _ ...) = 0.058144 [ -1.235497 ]
p( l | c ...) = 0.113145 [ -0.946366 ]
p( e | l ...) = 0.267838 [ -0.572127 ]
p( a | e ...) = 0.315990 [ -0.500327 ]
p( n | a ...) = 0.041651 [ -1.380378 ]
p( _ | n ...) = 0.311762 [ -0.506177 ]
p( u | _ ...) = 0.164083 [ -0.784937 ]
p( p | u ...) = 0.304938 [ -0.515789 ]
sum logprob = -19.9668, per-symbol logprob = -0.8320, ppl = 6.7913

sentence = 'w h e r e <sp> a r e <sp> t h e y'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( e | h ...) = 0.135739 [ -0.867296 ]
p( r | e ...) = 0.168582 [ -0.773190 ]
p( e | r ...) = 0.133696 [ -0.873881 ]
p( _ | e ...) = 0.313471 [ -0.503802 ]
p( a | _ ...) = 0.109338 [ -0.961227 ]
p( r | a ...) = 0.076085 [ -1.118701 ]
p( e | r ...) = 0.259208 [ -0.586352 ]
p( _ | e ...) = 0.283929 [ -0.546790 ]
p( t | _ ...) = 0.160002 [ -0.795873 ]
p( h | t ...) = 0.308891 [ -0.510194 ]
p( e | h ...) = 0.301921 [ -0.520107 ]
p( y | e ...) = 0.173135 [ -0.761616 ]
sum logprob = -11.0378, per-symbol logprob = -0.7884, ppl = 6.1435

sentence = 'h o w <sp> c o m e'
p( h | <s> ...) = 0.026060 [ -1.584030 ]
p( o | h ...) = 0.079238 [ -1.101066 ]
p( w | o ...) = 0.099177 [ -1.003587 ]
p( _ | w ...) = 0.313437 [ -0.503849 ]
p( c | _ ...) = 0.016224 [ -1.789851 ]
p( o | c ...) = 0.145563 [ -0.836949 ]
p( m | o ...) = 0.148190 [ -0.829180 ]
p( e | m ...) = 0.148913 [ -0.827067 ]
sum logprob = -8.4756, per-symbol logprob = -1.0594, ppl = 11.4669

sentence = 's h o w <sp> m e'
p( s | <s> ...) = 0.060403 [ -1.218943 ]
p( h | s ...) = 0.076091 [ -1.118667 ]
p( o | h ...) = 0.135779 [ -0.867169 ]
p( w | o ...) = 0.043835 [ -1.358179 ]
p( _ | w ...) = 0.256492 [ -0.590925 ]
p( m | _ ...) = 0.020194 [ -1.694770 ]
p( e | m ...) = 0.120664 [ -0.918423 ]
sum logprob = -7.7671, per-symbol logprob = -1.1096, ppl = 12.8701

sentence = 'i <sp> t h o u g h t <sp> s o'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( t | _ ...) = 0.118238 [ -0.927245 ]
p( h | t ...) = 0.226442 [ -0.645043 ]
p( o | h ...) = 0.060618 [ -1.217401 ]
p( u | o ...) = 0.222247 [ -0.653163 ]
p( g | u ...) = 0.269246 [ -0.569851 ]
p( h | g ...) = 0.086180 [ -1.064594 ]
p( t | h ...) = 0.235985 [ -0.627116 ]
p( _ | t ...) = 0.284052 [ -0.546603 ]
p( s | _ ...) = 0.072344 [ -1.140599 ]
p( o | s ...) = 0.159138 [ -0.798227 ]
sum logprob = -10.0895, per-symbol logprob = -0.8408, ppl = 6.9309

sentence = 'i <sp> c a m e <sp> e a r l y'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( c | _ ...) = 0.016074 [ -1.793865 ]
p( a | c ...) = 0.192262 [ -0.716106 ]
p( m | a ...) = 0.085587 [ -1.067593 ]
p( e | m ...) = 0.246531 [ -0.608129 ]
p( _ | e ...) = 0.274911 [ -0.560808 ]
p( e | _ ...) = 0.036102 [ -1.442473 ]
p( a | e ...) = 0.162136 [ -0.790122 ]
p( r | a ...) = 0.103845 [ -0.983613 ]
p( l | r ...) = 0.303894 [ -0.517278 ]
p( y | l ...) = 0.061367 [ -1.212068 ]
sum logprob = -11.5917, per-symbol logprob = -0.9660, ppl = 9.2464

sentence = 't h a n k <sp> y o u'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( h | t ...) = 0.177425 [ -0.750985 ]
p( a | h ...) = 0.085167 [ -1.069726 ]
p( n | a ...) = 0.132648 [ -0.877299 ]
p( k | n ...) = 0.218072 [ -0.661400 ]
p( _ | k ...) = 0.165595 [ -0.780952 ]
p( y | _ ...) = 0.051592 [ -1.287414 ]
p( o | y ...) = 0.292304 [ -0.534166 ]
p( u | o ...) = 0.310490 [ -0.507952 ]
sum logprob = -7.3223, per-symbol logprob = -0.8136, ppl = 6.5101

sentence = 'c a n <sp> y o u <sp> m a k e <sp> m e <sp> s o m e t h i n g <sp> t o <sp> e a t'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( y | _ ...) = 0.049816 [ -1.302630 ]
p( o | y ...) = 0.276756 [ -0.557902 ]
p( u | o ...) = 0.309901 [ -0.508776 ]
p( _ | u ...) = 0.260915 [ -0.583501 ]
p( m | _ ...) = 0.038044 [ -1.419717 ]
p( a | m ...) = 0.238725 [ -0.622103 ]
p( k | a ...) = 0.232917 [ -0.632800 ]
p( e | k ...) = 0.072271 [ -1.141034 ]
p( _ | e ...) = 0.313193 [ -0.504188 ]
p( m | _ ...) = 0.066672 [ -1.176058 ]
p( e | m ...) = 0.201827 [ -0.695021 ]
p( _ | e ...) = 0.302012 [ -0.519976 ]
p( s | _ ...) = 0.052930 [ -1.276295 ]
p( o | s ...) = 0.137028 [ -0.863190 ]
p( m | o ...) = 0.226953 [ -0.644063 ]
p( e | m ...) = 0.317996 [ -0.497578 ]
p( t | e ...) = 0.143816 [ -0.842192 ]
p( h | t ...) = 0.308989 [ -0.510057 ]
p( i | h ...) = 0.300014 [ -0.522858 ]
p( n | i ...) = 0.312910 [ -0.504580 ]
p( g | n ...) = 0.023475 [ -1.629395 ]
p( _ | g ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.124452 [ -0.904997 ]
p( o | t ...) = 0.206690 [ -0.684681 ]
p( _ | o ...) = 0.294789 [ -0.530489 ]
p( e | _ ...) = 0.188292 [ -0.725169 ]
p( a | e ...) = 0.308918 [ -0.510157 ]
p( t | a ...) = 0.080702 [ -1.093117 ]
sum logprob = -25.9953, per-symbol logprob = -0.8124, ppl = 6.4916

sentence = 'c a n <sp> y o u <sp> h e l p <sp> m e <sp> m a k e <sp> a <sp> d e p o s i t <sp> i n <sp> t h e <sp> b a n k'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( y | _ ...) = 0.049816 [ -1.302630 ]
p( o | y ...) = 0.276756 [ -0.557902 ]
p( u | o ...) = 0.309901 [ -0.508776 ]
p( _ | u ...) = 0.260915 [ -0.583501 ]
p( h | _ ...) = 0.047493 [ -1.323372 ]
p( e | h ...) = 0.177746 [ -0.750201 ]
p( l | e ...) = 0.191586 [ -0.717635 ]
p( p | l ...) = 0.306797 [ -0.513148 ]
p( _ | p ...) = 0.313339 [ -0.503986 ]
p( m | _ ...) = 0.192012 [ -0.716671 ]
p( e | m ...) = 0.302822 [ -0.518813 ]
p( _ | e ...) = 0.313104 [ -0.504311 ]
p( m | _ ...) = 0.046657 [ -1.331084 ]
p( a | m ...) = 0.271782 [ -0.565779 ]
p( k | a ...) = 0.264826 [ -0.577040 ]
p( e | k ...) = 0.058400 [ -1.233589 ]
p( _ | e ...) = 0.312384 [ -0.505312 ]
p( a | _ ...) = 0.099732 [ -1.001165 ]
p( _ | a ...) = 0.246153 [ -0.608795 ]
p( d | _ ...) = 0.072483 [ -1.139766 ]
p( e | d ...) = 0.147623 [ -0.830846 ]
p( p | e ...) = 0.036864 [ -1.433393 ]
p( o | p ...) = 0.253271 [ -0.596414 ]
p( s | o ...) = 0.228870 [ -0.640411 ]
p( i | s ...) = 0.315968 [ -0.500357 ]
p( t | i ...) = 0.317093 [ -0.498813 ]
p( _ | t ...) = 0.311263 [ -0.506873 ]
p( i | _ ...) = 0.094636 [ -1.023943 ]
p( n | i ...) = 0.271195 [ -0.566718 ]
p( _ | n ...) = 0.234073 [ -0.630649 ]
p( t | _ ...) = 0.150724 [ -0.821818 ]
p( h | t ...) = 0.300393 [ -0.522310 ]
p( e | h ...) = 0.251311 [ -0.599789 ]
p( _ | e ...) = 0.290456 [ -0.536920 ]
p( b | _ ...) = 0.151132 [ -0.820643 ]
p( a | b ...) = 0.288896 [ -0.539258 ]
p( n | a ...) = 0.295568 [ -0.529342 ]
p( k | n ...) = 0.306401 [ -0.513710 ]
sum logprob = -31.6646, per-symbol logprob = -0.7539, ppl = 5.6744

sentence = 'b o n <sp> v o y a g e'
p( b | <s> ...) = 0.053604 [ -1.270804 ]
p( o | b ...) = 0.077092 [ -1.112988 ]
p( n | o ...) = 0.054849 [ -1.260829 ]
p( _ | n ...) = 0.232324 [ -0.633906 ]
p( v | _ ...) = 0.011543 [ -1.937682 ]
p( o | v ...) = 0.061252 [ -1.212877 ]
p( y | o ...) = 0.039604 [ -1.402266 ]
p( a | y ...) = 0.235854 [ -0.627357 ]
p( g | a ...) = 0.308190 [ -0.511181 ]
p( e | g ...) = 0.307674 [ -0.511909 ]
sum logprob = -10.4818, per-symbol logprob = -1.0482, ppl = 11.1733

sentence = 'a r e <sp> y o u <sp> d o i n g <sp> a n y t h i n g <sp> s p e c i a l <sp> t h i s <sp> w e e k e n d'
p( a | <s> ...) = 0.088923 [ -1.050985 ]
p( r | a ...) = 0.053246 [ -1.273710 ]
p( e | r ...) = 0.114348 [ -0.941771 ]
p( _ | e ...) = 0.237661 [ -0.624042 ]
p( y | _ ...) = 0.022004 [ -1.657501 ]
p( o | y ...) = 0.262537 [ -0.580809 ]
p( u | o ...) = 0.309145 [ -0.509838 ]
p( _ | u ...) = 0.227387 [ -0.643235 ]
p( d | _ ...) = 0.021195 [ -1.673769 ]
p( o | d ...) = 0.212510 [ -0.672621 ]
p( i | o ...) = 0.217248 [ -0.663045 ]
p( n | i ...) = 0.313870 [ -0.503250 ]
p( g | n ...) = 0.118553 [ -0.926088 ]
p( _ | g ...) = 0.313471 [ -0.503802 ]
p( a | _ ...) = 0.096249 [ -1.016605 ]
p( n | a ...) = 0.138827 [ -0.857527 ]
p( y | n ...) = 0.228336 [ -0.641426 ]
p( t | y ...) = 0.196871 [ -0.705818 ]
p( h | t ...) = 0.249954 [ -0.602140 ]
p( i | h ...) = 0.277471 [ -0.556782 ]
p( n | i ...) = 0.086714 [ -1.061909 ]
p( g | n ...) = 0.152688 [ -0.816194 ]
p( _ | g ...) = 0.313471 [ -0.503802 ]
p( s | _ ...) = 0.042402 [ -1.372615 ]
p( p | s ...) = 0.172445 [ -0.763349 ]
p( e | p ...) = 0.311868 [ -0.506030 ]
p( c | e ...) = 0.307345 [ -0.512373 ]
p( i | c ...) = 0.314696 [ -0.502109 ]
p( a | i ...) = 0.089608 [ -1.047652 ]
p( l | a ...) = 0.123639 [ -0.907846 ]
p( _ | l ...) = 0.311223 [ -0.506929 ]
p( t | _ ...) = 0.113739 [ -0.944089 ]
p( h | t ...) = 0.195085 [ -0.709776 ]
p( i | h ...) = 0.214373 [ -0.668830 ]
p( s | i ...) = 0.054739 [ -1.261703 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( w | _ ...) = 0.144490 [ -0.840163 ]
p( e | w ...) = 0.302497 [ -0.519279 ]
p( e | e ...) = 0.318586 [ -0.496774 ]
p( k | e ...) = 0.307566 [ -0.512062 ]
p( e | k ...) = 0.185009 [ -0.732806 ]
p( n | e ...) = 0.056503 [ -1.247928 ]
p( d | n ...) = 0.177601 [ -0.750554 ]
sum logprob = -34.2933, per-symbol logprob = -0.7975, ppl = 6.2736

sentence = 't h a n k s <sp> f o r <sp> s t o p p i n g <sp> b y'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( h | t ...) = 0.177425 [ -0.750985 ]
p( a | h ...) = 0.085167 [ -1.069726 ]
p( n | a ...) = 0.132648 [ -0.877299 ]
p( k | n ...) = 0.218072 [ -0.661400 ]
p( s | k ...) = 0.236027 [ -0.627038 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( f | _ ...) = 0.081384 [ -1.089462 ]
p( o | f ...) = 0.238015 [ -0.623397 ]
p( r | o ...) = 0.296880 [ -0.527420 ]
p( _ | r ...) = 0.299981 [ -0.522906 ]
p( s | _ ...) = 0.042987 [ -1.366668 ]
p( t | s ...) = 0.120474 [ -0.919107 ]
p( o | t ...) = 0.237644 [ -0.624074 ]
p( p | o ...) = 0.300172 [ -0.522630 ]
p( p | p ...) = 0.305771 [ -0.514604 ]
p( i | p ...) = 0.317150 [ -0.498735 ]
p( n | i ...) = 0.285260 [ -0.544759 ]
p( g | n ...) = 0.128471 [ -0.891193 ]
p( _ | g ...) = 0.313471 [ -0.503802 ]
p( b | _ ...) = 0.276535 [ -0.558250 ]
p( y | b ...) = 0.310125 [ -0.508464 ]
sum logprob = -15.5581, per-symbol logprob = -0.7072, ppl = 5.0955

sentence = 'i <sp> l i k e <sp> t o <sp> l o o k <sp> a t <sp> t h e <sp> s u n s e t'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( l | _ ...) = 0.024201 [ -1.616171 ]
p( i | l ...) = 0.156923 [ -0.804313 ]
p( k | i ...) = 0.141730 [ -0.848538 ]
p( e | k ...) = 0.315526 [ -0.500964 ]
p( _ | e ...) = 0.257553 [ -0.589133 ]
p( t | _ ...) = 0.210171 [ -0.677427 ]
p( o | t ...) = 0.212228 [ -0.673197 ]
p( _ | o ...) = 0.309578 [ -0.509229 ]
p( l | _ ...) = 0.022297 [ -1.651750 ]
p( o | l ...) = 0.161971 [ -0.790563 ]
p( o | o ...) = 0.233108 [ -0.632442 ]
p( k | o ...) = 0.020716 [ -1.683685 ]
p( _ | k ...) = 0.312428 [ -0.505250 ]
p( a | _ ...) = 0.194348 [ -0.711420 ]
p( t | a ...) = 0.274675 [ -0.561180 ]
p( _ | t ...) = 0.313390 [ -0.503915 ]
p( t | _ ...) = 0.167988 [ -0.774722 ]
p( h | t ...) = 0.306537 [ -0.513517 ]
p( e | h ...) = 0.231564 [ -0.635328 ]
p( _ | e ...) = 0.233073 [ -0.632508 ]
p( s | _ ...) = 0.047804 [ -1.320536 ]
p( u | s ...) = 0.061175 [ -1.213427 ]
p( n | u ...) = 0.135975 [ -0.866541 ]
p( s | n ...) = 0.099230 [ -1.003356 ]
p( e | s ...) = 0.180733 [ -0.742962 ]
p( t | e ...) = 0.313692 [ -0.503497 ]
sum logprob = -23.3652, per-symbol logprob = -0.8345, ppl = 6.8308

sentence = 'n o <sp> l o n g e r'
p( n | <s> ...) = 0.027322 [ -1.563491 ]
p( o | n ...) = 0.118145 [ -0.927584 ]
p( _ | o ...) = 0.135833 [ -0.866996 ]
p( l | _ ...) = 0.024551 [ -1.609935 ]
p( o | l ...) = 0.136634 [ -0.864442 ]
p( n | o ...) = 0.121101 [ -0.916854 ]
p( g | n ...) = 0.124072 [ -0.906325 ]
p( e | g ...) = 0.161223 [ -0.792573 ]
p( r | e ...) = 0.030099 [ -1.521453 ]
sum logprob = -9.9697, per-symbol logprob = -1.1077, ppl = 12.8156

sentence = 'i <sp> n e e d <sp> t o <sp> c a r e <sp> f o r <sp> f e m i n i n e <sp> i s s u e s <sp> c a n <sp> y o u <sp> h e l p <sp> m e'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( n | _ ...) = 0.028200 [ -1.549746 ]
p( e | n ...) = 0.152956 [ -0.815432 ]
p( e | e ...) = 0.131768 [ -0.880190 ]
p( d | e ...) = 0.038858 [ -1.410525 ]
p( _ | d ...) = 0.190919 [ -0.719151 ]
p( t | _ ...) = 0.204711 [ -0.688858 ]
p( o | t ...) = 0.287593 [ -0.541222 ]
p( _ | o ...) = 0.312297 [ -0.505432 ]
p( c | _ ...) = 0.033642 [ -1.473120 ]
p( a | c ...) = 0.075926 [ -1.119608 ]
p( r | a ...) = 0.134528 [ -0.871189 ]
p( e | r ...) = 0.171918 [ -0.764679 ]
p( _ | e ...) = 0.205064 [ -0.688111 ]
p( f | _ ...) = 0.118111 [ -0.927710 ]
p( o | f ...) = 0.310672 [ -0.507698 ]
p( r | o ...) = 0.311366 [ -0.506729 ]
p( _ | r ...) = 0.312995 [ -0.504463 ]
p( f | _ ...) = 0.012890 [ -1.889731 ]
p( e | f ...) = 0.061006 [ -1.214630 ]
p( m | e ...) = 0.120558 [ -0.918803 ]
p( i | m ...) = 0.129971 [ -0.886152 ]
p( n | i ...) = 0.088323 [ -1.053924 ]
p( i | n ...) = 0.260774 [ -0.583735 ]
p( n | i ...) = 0.034812 [ -1.458272 ]
p( e | n ...) = 0.055469 [ -1.255947 ]
p( _ | e ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.045730 [ -1.339800 ]
p( s | i ...) = 0.166372 [ -0.778919 ]
p( s | s ...) = 0.293953 [ -0.531721 ]
p( u | s ...) = 0.311432 [ -0.506637 ]
p( e | u ...) = 0.319026 [ -0.496175 ]
p( s | e ...) = 0.308440 [ -0.510829 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( c | _ ...) = 0.015074 [ -1.821759 ]
p( a | c ...) = 0.135911 [ -0.866746 ]
p( n | a ...) = 0.166589 [ -0.778352 ]
p( _ | n ...) = 0.285584 [ -0.544266 ]
p( y | _ ...) = 0.021668 [ -1.664180 ]
p( o | y ...) = 0.233126 [ -0.632410 ]
p( u | o ...) = 0.310826 [ -0.507483 ]
p( _ | u ...) = 0.285632 [ -0.544193 ]
p( h | _ ...) = 0.093476 [ -1.029299 ]
p( e | h ...) = 0.262784 [ -0.580402 ]
p( l | e ...) = 0.296287 [ -0.528287 ]
p( p | l ...) = 0.307234 [ -0.512531 ]
p( _ | p ...) = 0.313346 [ -0.503976 ]
p( m | _ ...) = 0.128550 [ -0.890929 ]
p( e | m ...) = 0.282658 [ -0.548739 ]
sum logprob = -42.7599, per-symbol logprob = -0.8552, ppl = 7.1647

sentence = 'c o n g r a t u l a t i o n s <sp> o n <sp> y o u r <sp> g r a d u a t i o n'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( o | c ...) = 0.153800 [ -0.813043 ]
p( n | o ...) = 0.103766 [ -0.983943 ]
p( g | n ...) = 0.034334 [ -1.464275 ]
p( r | g ...) = 0.030634 [ -1.513798 ]
p( a | r ...) = 0.109069 [ -0.962297 ]
p( t | a ...) = 0.094438 [ -1.024854 ]
p( u | t ...) = 0.036427 [ -1.438573 ]
p( l | u ...) = 0.266273 [ -0.574673 ]
p( a | l ...) = 0.278209 [ -0.555629 ]
p( t | a ...) = 0.312278 [ -0.505458 ]
p( i | t ...) = 0.189311 [ -0.722823 ]
p( o | i ...) = 0.187174 [ -0.727754 ]
p( n | o ...) = 0.215316 [ -0.666923 ]
p( s | n ...) = 0.076249 [ -1.117766 ]
